city,year,type,n
Dallas,1980,Total Violent Crime,1408.83720103455
Denver,1980,Total Violent Crime,1128.10074430125
Detroit,1980,Total Violent Crime,1945.00240118598
"El Paso, Texas",1980,Total Violent Crime,661.221955109357
"Fairfax County, Va.",1980,Total Violent Crime,174.949361390874
"Fort Worth, Texas",1980,Total Violent Crime,1226.35420286977
"Fresno, Calif.",1980,Total Violent Crime,1099.83472302178
Honolulu,1980,Total Violent Crime,322.301251935645
Houston,1980,Total Violent Crime,866.667736706098
Indianapolis,1980,Total Violent Crime,637.2781225984
"Jacksonville, Fla.",1980,Total Violent Crime,893.15487430798
"Kansas City, Mo.",1980,Total Violent Crime,1569.3777762859
Las Vegas,1980,Total Violent Crime,1147.1317813366
"Long Beach, Calif.",1980,Total Violent Crime,1298.38108633646
Los Angeles,1980,Total Violent Crime,1742.48292385702
"Los Angeles County, Calif.",1980,Total Violent Crime,1234.47350337365
"Louisville, Ky.",1980,Total Violent Crime,NA
"Memphis, Tenn.",1980,Total Violent Crime,1069.52866625217
"Mesa, Ariz.",1980,Total Violent Crime,542.555892611351
Miami,1980,Total Violent Crime,3417.74942064471
"Miami-Dade County, Fla.",1980,Total Violent Crime,1604.79592403269
Milwaukee,1980,Total Violent Crime,522.209688488511
Minneapolis,1980,Total Violent Crime,1058.18247636852
"Montgomery County, Md.",1980,Total Violent Crime,275.905356568685
"Nashville, Tenn.",1980,Total Violent Crime,803.93783529672
"Nassau County, N.Y.",1980,Total Violent Crime,139.355153567092
National,1980,Total Violent Crime,596.6
New Orleans,1980,Total Violent Crime,1465.14367264832
New York City,1980,Total Violent Crime,2125.68020800108
"Newark, N.J.",1980,Total Violent Crime,3414.07556406466
"Oakland, Calif.",1980,Total Violent Crime,2224.83991249435
Oklahoma City,1980,Total Violent Crime,929.834128946628
"Omaha, Neb.",1980,Total Violent Crime,633.710321201333
"Orlando, Fla.",1980,Total Violent Crime,1838.65238516247
Philadelphia,1980,Total Violent Crime,1028.9827055482
Phoenix,1980,Total Violent Crime,908.286366388747
Pittsburgh,1980,Total Violent Crime,1206.96361429026
"Portland, Ore.",1980,Total Violent Crime,1360.24740751717
"Prince George's County, Md.",1980,Total Violent Crime,933.92574265437
"Raleigh, N.C.",1980,Total Violent Crime,528.198667376321
"Sacramento, Calif.",1980,Total Violent Crime,1173.20531639391
Salt Lake City,1980,Total Violent Crime,694.542442556063
San Antonio,1980,Total Violent Crime,541.210000900959
San Diego,1980,Total Violent Crime,707.45496818796
San Francisco,1980,Total Violent Crime,1885.33709115182
San Jose,1980,Total Violent Crime,603.082919125116
Seattle,1980,Total Violent Crime,1057.33517382704
"St. Louis, Mo.",1980,Total Violent Crime,2436.38944963287
"Suffolk County, N.Y.",1980,Total Violent Crime,256.014882860464
"Tampa, Fla.",1980,Total Violent Crime,1893.87032068148
"Tucson, Ariz.",1980,Total Violent Crime,779.47307137729
"Tulsa, Okla.",1980,Total Violent Crime,763.142065290106
"Virginia Beach, Va.",1980,Total Violent Crime,203.314408470155
"Washington, D.C.",1980,Total Violent Crime,2010.60083465437
"Wichita, Kan.",1980,Total Violent Crime,652.581689051806
"Albuquerque, N.M.",1981,Total Violent Crime,886.177413608835
"Arlington, Texas",1981,Total Violent Crime,416.448215051713
Atlanta,1981,Total Violent Crime,2435.11636128238
"Aurora, Colo.",1981,Total Violent Crime,882.136279926335
"Austin, Texas",1981,Total Violent Crime,432.038522735852
Baltimore,1981,Total Violent Crime,2224.27325818349
"Baltimore County, Md.",1981,Total Violent Crime,925.493750236018
Boston,1981,Total Violent Crime,2483.0636039098
"Buffalo, N.Y.",1981,Total Violent Crime,930.207953403291
"Charlotte-Mecklenburg, N.C.",1981,Total Violent Crime,1000.30647418824
Chicago,1981,Total Violent Crime,850.03400600723
Cincinnati,1981,Total Violent Crime,1015.0192598079
Cleveland,1981,Total Violent Crime,2168.56118434253
"Columbus, Ohio",1981,Total Violent Crime,934.986214149683
Dallas,1981,Total Violent Crime,1360.222688587
Denver,1981,Total Violent Crime,1009.5395030723
Detroit,1981,Total Violent Crime,1941.35558152295
"El Paso, Texas",1981,Total Violent Crime,792.903177711966
"Fairfax County, Va.",1981,Total Violent Crime,161.118931301924
"Fort Worth, Texas",1981,Total Violent Crime,1241.21039344312
"Fresno, Calif.",1981,Total Violent Crime,975.900944697439
Honolulu,1981,Total Violent Crime,254.095594253948
Houston,1981,Total Violent Crime,633.455761987352
Indianapolis,1981,Total Violent Crime,982.850461218657
"Jacksonville, Fla.",1981,Total Violent Crime,979.558624862429
"Kansas City, Mo.",1981,Total Violent Crime,1713.4188191759
